City,Gas,Electricity
"DEN HORN",70776,20993
"DEN HAM GN",47595,19682
NIEZIJL,46573,24117
GRIJPSKERK,295670,140441
PIETERZIJL,30130,11035
VISVLIET,38427,17473
GROOTEGAST,293828,142101
SEBALDEBUREN,72713,29496
DOEZUM,133979,59773
KORNHORN,72732,34054
OPENDE,255375,115630
LUTJEGAST,111962,49409
KOMMERZIJL,48355,21975
OLDEHOVE,162351,70268
NIEHOVE,31677,10410
LAUWERZIJL,12717,5868
SAAKSUM,20162,10068
EZINGE,105863,47572
FEERWERD,45874,20224
GARNWERD,76851,28824
APPINGEDAM,994539,526193
KREWERD,19788,7953
HOLWIERDE,126955,63383
BIERUM,47305,29057
LOSDORP,22562,11645
GODLINZE,43331,18262
"SPIJK GN",139291,75981
OOSTERWIJTWERD,23250,14255
LEERMENS,39613,13996
ZEERIJP,55798,19751
"'T ZANDT GN",67540,39882
"WIRDUM GN",71463,32254
GARRELSWEER,63238,29569
LOPPERSUM,229292,122988
STEDUM,117938,63363
WESTEREMDEN,50023,26163
GARSTHUIZEN,35702,8723
"STARTENHUIZEN LOPP",7935,2998
DELFZIJL,1370567,681420
FARMSUM,216188,110839
MEEDHUIZEN,111386,38780
TJUCHEM,42198,19401
"'T WAAR",11386,6755
"NIEUW SCHEEMDA",35200,17681
NIEUWOLDA,159926,71606
WAGENBORGEN,167152,89903
WOLDENDORP,123001,58783
TERMUNTEN,41748,19841
TERMUNTERZIJL,46198,25762
BORGSWEER,13382,7818
"WINSUM GN",607893,288400
BAFLO,147972,83401
TINALLINGE,14580,7298
RASQUERT,19298,11072
"DEN ANDEL",48267,22857
SAAXUMHUIZEN,8447,2720
ONDERDENDAM,69067,36925
MENSINGEWEER,15794,5663
SCHOUWERZIJL,10063,6108
WARFHUIZEN,24225,13661
"WEHE-DEN HOORN",72953,41613
LEENS,177786,82492
ZUURDIJK,35266,11592
EENRUM,124035,71353
PIETERBUREN,63665,26147
WESTERNIELAND,33471,14683
ULRUM,128392,69537
"NIEKERK DE MARNE",5251,2695
HOUWERZIJL,9820,5408
ZOUTKAMP,117994,57774
VIERHUIZEN,11495,6600
LAUWERSOOG,70781,24248
KLOOSTERBUREN,151351,64664
HORNHUIZEN,23006,7878
UITHUIZEN,524511,256206
UITHUIZERMEEDEN,305340,153974
ROODESCHOOL,118424,62311
OUDESCHIP,27341,12486
OOSTERNIELAND,11717,4699
OLDENZIJL,5749,5749
ZIJLDIJK,33195,16687
USQUERT,146350,83663
WARFFUM,215528,112095
MIDDELSTUM,214616,113331
HUIZINGE,31360,6729
WESTERWIJTWERD,20050,7809
TOORNWERD,9112,2359
KANTENS,61288,29959
EPPENHUIZEN,9966,2048
ZANDEWEER,72200,35469
"ROTTUM GN",13180,6246
STITSWERD,13522,5248
CASTELRE,6687
RIETMOLEN,38516
STEENENKAMER,9609
"NOORDEINDE GLD",8972
"OOSTERWOLDE GLD",9831
MARLE,4880
